epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35728.5,0.98112,1.13731,1.37906,0.49607,0.36614,0.38718,0.25685,1.27623,1.72508,1.74868,0.000540037,0.000540037,0.000540037
43,36508,0.98141,1.12018,1.38447,0.53193,0.3846,0.41586,0.2741,1.26096,1.6865,1.7392,0.000531038,0.000531038,0.000531038
44,37324.8,0.94758,1.07897,1.35605,0.46354,0.43231,0.42409,0.28205,1.24986,1.65454,1.72168,0.000522039,0.000522039,0.000522039
45,38158.5,0.94776,1.07311,1.35747,0.49285,0.42312,0.41591,0.2731,1.25477,1.71678,1.72948,0.00051304,0.00051304,0.00051304
46,38959.6,0.95111,1.06857,1.35959,0.45092,0.4403,0.42048,0.27198,1.26182,1.67126,1.71839,0.00050404,0.00050404,0.00050404
47,39793.3,0.9476,1.05591,1.3457,0.54624,0.40177,0.42228,0.28242,1.23009,1.6533,1.68918,0.000495041,0.000495041,0.000495041
48,40675.1,0.95505,1.07072,1.35411,0.46631,0.39661,0.38558,0.25432,1.27539,1.76191,1.70322,0.000486042,0.000486042,0.000486042
49,41471.2,0.94306,1.04226,1.34689,0.49282,0.41309,0.41868,0.27735,1.24698,1.65172,1.69819,0.000477043,0.000477043,0.000477043
50,42255.8,0.93181,1.03744,1.34229,0.47293,0.37651,0.39168,0.25929,1.2588,1.76076,1.71036,0.000468044,0.000468044,0.000468044
51,43060.4,0.93117,1.03266,1.33801,0.48551,0.44643,0.43655,0.28746,1.21987,1.68296,1.68785,0.000459045,0.000459045,0.000459045
52,43865.9,0.91789,1.00134,1.32156,0.49659,0.41032,0.41672,0.27265,1.23225,1.66897,1.7028,0.000450046,0.000450046,0.000450046
53,44661.1,0.9253,1.00504,1.33184,0.53021,0.41617,0.40529,0.26563,1.25883,1.70379,1.71742,0.000441047,0.000441047,0.000441047
54,45464.4,0.92604,1.00935,1.33235,0.46907,0.42265,0.42225,0.28401,1.26238,1.73829,1.73192,0.000432048,0.000432048,0.000432048
55,46260.1,0.90986,0.9836,1.31717,0.48608,0.40267,0.41039,0.27257,1.24582,1.67669,1.70301,0.000423049,0.000423049,0.000423049
